# NIST Physics Laboratory  *Atomic Weights and Isotopic Compositions for All Elements*
#
# *Column Descriptions*
# 
# ** Isotope ** : Atomic number, Symbol, and Mass number
#
# ** Relative Atomic Mass** (of the isotope)*: Ar(X), where X is an isotope
#   [formerly called atomic weight]
#  
#     These values are scaled to Ar (12C) = 12, where 12C is a neutral atom in its nuclear and electronic ground state. 
#     Thus, the relative atomic mass of entity X is given by: Ar(X) = m(X) /[m(12C)/12]. If # is present, the value and 
#     error were derived not from purely experimental data, but at least partly from systematic trends. The 1995 Update 
#     to The Atomic Mass Evaluation does not extend beyond an atomic mass of 273.    
#
# ** Representative Isotopic Composition (%) ** : Mole fraction of the various isotopes
#
#    In the opinion of the Subcommittee for Isotopic Abundance Measurements (SIAM), these values represent the isotopic 
#    composition of the chemicals and/or materials most commonly encountered in the laboratory. They may not, therefore, 
#    correspond to the most abundant natural material. The uncertainties listed in parenthesis cover the range of probable 
#    variations of the materials as well as experimental errors. These values are consistent with the values to be 
#    published in Atomic Weights of the Elements 1997.
#    
# ** Standard Atomic Weight ** (common usage)*:* Ar(X), where X is an element
#    [more appropriately called relative atomic mass of the element]
#    
#    The relative atomic mass of an element is derived by averaging the relative atomic masses of the isotopes of that 
#    element. These values are scaled to Ar(12C) = 12, where 12C is a neutral atom in its nuclear and electronic ground
#    state. These values are dependent on the origin and treatment of the material. The uncertainties are listed in
#    parenthesis. Brackets [ ] indicate the mass number of the most stable isotope.
#
# *Notes:* Notes for Representative Isotopic Composition and Standard Atomic Weight
#
# *a* : Air reference material used for the best measurement. 	 
#
# *b* :	Commercially available Li materials have atomic weights that range between 6.939 and 6.996 ; if 
#       a more accurate value is required, it must be determined for the specific material.
#       (Note: The range given in /Atomic Weights of the Elements 1995/ was 6.94 to 6.99.)
#
# *c* : The range of 2H in tank hydrogen is 0.0032 - 0.0184 atom %.
#
# *d* :	Materials depleted in 6Li and 235U are commercial sources of laboratory shelf reagents. In the case of Li 
#       such samples are known to have 6Li abundances in the range 2.007 - 7.672 atom %, with natural materials at the 
#       higher end of this range.
#
# *e* :	The Commission on Atomic Weights and Isotopic Abundances recommendsthat the value of 272 be employed for 14N/15N
#       of N2 in air for the calculation of atom % 15N from measured delta(15N) values.
#
# *f* :	Evaluated isotopic composition is for most but not all commercial samples. Some isotopes are altered because of 
#       the contribution of a daughter product from the radioactive decay of another element. These isotopes are: 40Ca,
#       87Sr, 138Ce, 143Nd, 176Hf, 187Os, 206Pb, 207Pb, 208Pb, and 235U. Because the abundances must add up to 100 percent
#       the abundances of all isotopes of an element are affected.
#
# *g* : Geological specimens are known in which the element has an isotopic composition outside the limits for normal
#       material. The difference between the atomic weight of the element in such specimens and that given in the table
#       may exceed the stated uncertainty.
#
# *h* :	An electron multiplier was used for these measurements and themeasured abundances were adjusted using a 
#       square root of the masses.
#
# *m* :	Modified isotopic compositions may be found in commercially available material because it has been subjected 
#       to an undisclosed or inadvertent isotopic fractionation. Substantial deviations in the atomic weight and 
#       isotopic composition of the element from that given in the table can occur.
#
# *r* : Range in isotopic composition of normal terrestrial material limits the precision of isotopic composition 
#       and atomic weight. The tabulated values should be applicable to any normal material.
#
# *w* :	Fresh water reference material used for the best measurement.
#
#
_________________________________________________________________________
                                                                         
             Relative           Isotopic      Standard                   
Isotope      Atomic Mass        Composition   Atomic Weight    Notes     
_________________________________________________________________________
1   H   1    1.0078250321(4)    99.9885(70)   1.00794(7)       g,m,r,c,w
    D   2    2.0141017780(4)    0.0115(70)  
    T   3    3.0160492675(11)               
    H   4    4.02783(12)                    
        5    5.03954(102)                   
        6    6.04494(28)                    
_________________________________________________________________________
2   He  3    3.0160293097(9)    0.000137(3)   4.002602(2)      g,r,a
        4    4.0026032497(10)   99.999863(3)
        5    5.012220(50)                   
        6    6.0188881(11)                  
        7    7.028030(30)                   
        8    8.033922(8)                    
        9    9.043820(70)                   
        10   10.052400(80)                  
_________________________________________________________________________
3   Li  4    4.02718(23)                      6.941(2)         g,m,r,b,d
        5    5.012540(50)                   
        6    6.0151223(5)       7.59(4)     
        7    7.0160040(5)       92.41(4)    
        8    8.0224867(5)                   
        9    9.0267891(21)                  
        10   10.035481(16)                  
        11   11.043796(29)                  
        12   12.05378(107)#                 
_________________________________________________________________________
4   Be  5    5.04079(429)#                    9.012182(3)       
        6    6.019726(6)                    
        7    7.0169292(5)                   
        8    8.00530509(4)                  
        9    9.0121821(4)       100         
        10   10.0135337(4)                  
        11   11.021658(7)                   
        12   12.026921(16)                  
        13   13.03613(54)                   
        14   14.04282(12)                   
_________________________________________________________________________
5   B   7    7.029920(80)                     10.811(7)        g,m,r
        8    8.0246067(12)                  
        9    9.0133288(11)                  
        10   10.0129370(4)      19.9(7)     
        11   11.0093055(5)      80.1(7)     
        12   12.0143521(15)                 
        13   13.0177803(12)                 
        14   14.025404(23)                  
        15   15.031097(24)                  
        16   16.039810(60)                  
        17   17.04693(15)                   
        18   18.05617(86)#                  
        19   19.06373(43)#                  
_________________________________________________________________________
6   C   8    8.037675(25)                     12.0107(8)       g,r
        9    9.0310401(23)                  
        10   10.0168531(4)                  
        11   11.0114338(10)                 
        12   12.0000000(0)      98.93(8)    
        13   13.0033548378(10)  1.07(8)     
        14   14.003241988(4)                
        15   15.0105993(9)                  
        16   16.014701(4)                   
        17   17.022584(19)                  
        18   18.026760(30)                  
        19   19.03525(12)                   
        20   20.04032(22)                   
        21   21.04934(54)#                  
        22   22.05645(97)#                  
_________________________________________________________________________
7   N   10   10.04262(43)#                    14.0067(2)       g,r,e
        11   11.02680(19)                   
        12   12.0186132(11)                 
        13   13.00573858(29)                
        14   14.0030740052(9)   99.632(7)   
        15   15.0001088984(9)   0.368(7)    
        16   16.0061014(28)                 
        17   17.008450(16)                  
        18   18.014082(21)                  
        19   19.017027(18)                  
        20   20.023370(60)                  
        21   21.02709(10)                   
        22   22.03444(21)                   
        23   23.04051(76)#                  
        24   24.05050(54)#                  
_________________________________________________________________________
8   O   12   12.034405(20)                    15.9994(3)       g,r
        13   13.024810(10)                  
        14   14.00859529(8)                 
        15   15.0030654(5)                  
        16   15.9949146221(15)  99.757(16)  
        17   16.99913150(22)    0.038(1)    
        18   17.9991604(9)      0.205(14)   
        19   19.003579(3)                   
        20   20.0040762(13)                 
        21   21.008655(13)                  
        22   22.009970(60)                  
        23   23.01569(11)                   
        24   24.02037(33)                   
        25   25.02914(40)#                  
        26   26.03775(46)#                  
_________________________________________________________________________
9   F   14   14.03608(43)#                    18.9984032(5)     
        15   15.01801(14)                   
        16   16.011466(9)                   
        17   17.00209524(27)                
        18   18.0009377(6)                  
        19   18.99840320(7)     100         
        20   19.99998132(9)                 
        21   20.9999489(19)                 
        22   22.002999(13)                  
        23   23.003570(90)                  
        24   24.008100(70)                  
        25   25.012090(80)                  
        26   26.01963(13)                   
        27   27.02689(45)                   
        28   28.03567(55)#                  
        29   29.04326(62)#                  
_________________________________________________________________________
10  Ne  16   16.025757(22)                    20.1797(6)       g,m,r,a
        17   17.017700(50)                  
        18   18.0056971(16)                 
        19   19.0018798(6)                  
        20   19.9924401759(20)  90.48(3)    
        21   20.99384674(4)     0.27(1)     
        22   21.99138551(23)    9.25(3)     
        23   22.99446734(26)                
        24   23.993615(11)                  
        25   24.997790(50)                  
        26   26.000460(60)                  
        27   27.00762(10)                   
        28   28.01211(12)                   
        29   29.01935(32)                   
        30   30.02387(88)                   
        31   31.03311(97)#                  
        32   32.03991(94)#                  
_________________________________________________________________________
11  Na  18   18.02718(43)#                    22.989770(2)      
        19   19.013879(13)                  
        20   20.007348(7)                   
        21   20.9976551(8)                  
        22   21.9944368(5)                  
        23   22.98976967(23)    100         
        24   23.99096333(23)                
        25   24.9899544(13)                 
        26   25.992590(15)                  
        27   26.994010(40)                  
        28   27.998890(80)                  
        29   29.00281(10)                   
        30   30.00923(10)                   
        31   31.01360(18)                   
        32   32.01965(52)                   
        33   33.02739(160)                  
        34   34.03490(113)#                 
        35   35.04418(166)#                 
_________________________________________________________________________
12  Mg  20   20.018863(29)                    24.3050(6)        
        21   21.011714(18)                  
        22   21.9995741(15)                 
        23   22.9941249(13)                 
        24   23.98504190(20)    78.99(4)    
        25   24.98583702(20)    10.00(1)    
        26   25.98259304(21)    11.01(3)    
        27   26.98434074(21)                
        28   27.9838767(22)                 
        29   28.988550(30)                  
        30   29.990460(70)                  
        31   30.996550(80)                  
        32   31.99915(10)                   
        33   33.00559(16)                   
        34   34.00907(28)                   
        35   35.01749(47)#                  
        36   36.02245(97)#                  
        37   37.03124(97)#                  
_________________________________________________________________________
13  Al  21   21.02804(32)#                    26.981538(2)      
        22   22.01952(10)#                  
        23   23.007265(27)                  
        24   23.999941(4)                   
        25   24.9904286(7)                  
        26   25.98689166(21)                
